scan_idx_1,scan_idx_2,slice_idx_1,slice_idx_2,label,question_type,question,answer,spacing_info_1,spacing_info_2
liver_77,liver_18,77,421,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.781000018119812, 0.781000018119812)","(0.921875, 0.921875)"
liver_3,liver_43,361,59,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,4458,"(0.693359375, 0.693359375)","(1.0, 1.0)"
liver_28,liver_102,63,504,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,Yes,"(1.0, 1.0)","(0.716796875, 0.716796875)"
liver_95,liver_70,506,286,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,20,"(0.7379999756813049, 0.7379999756813049)","(0.5976560115814209, 0.5976560115814209)"
liver_31,liver_76,62,146,liver,is_present_target_both,Is there liver in both images?,Yes,"(1.0, 1.0)","(0.7421879768371582, 0.7421879768371582)"
liver_82,liver_59,400,143,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.625, 0.625)","(0.6835939884185791, 0.6835939884185791)"
liver_94,liver_130,577,505,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.837890625, 0.837890625)","(0.68359375, 0.68359375)"
liver_31,liver_64,62,189,cancer,is_bright_compare,Is liver tumor brighter in the first image than the second image?,Yes,"(1.0, 1.0)","(0.7773439884185791, 0.7773439884185791)"
liver_117,liver_40,462,83,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,92,"(0.6800000071525574, 0.6800000071525574)","(1.0, 1.0)"
liver_108,liver_86,535,496,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.7289999723434448, 0.7289999723434448)","(0.68359375, 0.68359375)"
liver_96,liver_122,607,221,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.74609375, 0.74609375)","(0.689453125, 0.689453125)"
liver_39,liver_35,50,60,cancer,diameter_evolution,What is the difference in diameter (in mm) between the largest liver tumor in the first image and the largest one in the second image?,-70,"(1.0, 1.0)","(1.0, 1.0)"
liver_76,liver_42,146,106,cancer,is_present_target_both,Is there liver tumor in both images?,Yes,"(0.7421879768371582, 0.7421879768371582)","(1.0, 1.0)"
liver_13,liver_25,363,521,liver,diameter_evolution,What is the difference in diameter length of liver between the first and second image?,4,"(0.84765625, 0.84765625)","(0.767578125, 0.767578125)"
liver_70,liver_103,286,529,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.5976560115814209, 0.5976560115814209)","(0.85546875, 0.85546875)"
liver_65,liver_53,423,64,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.625, 0.625)","(0.8500000238418579, 0.8500000238418579)"
liver_1,liver_16,58,423,liver,surface_evolution,What is the difference in total surface area in mm2 of liver between the first and second image?,-2619,"(0.6757810115814209, 0.6757810115814209)","(0.703125, 0.703125)"
liver_82,liver_55,400,167,liver,is_present_target_both,Is there liver in both images?,Yes,"(0.625, 0.625)","(0.6660159826278687, 0.6660159826278687)"
liver_130,liver_32,505,69,liver,is_larger_comparison,Is liver surface bigger in the first image than the second image?,No,"(0.68359375, 0.68359375)","(1.0, 1.0)"
liver_55,liver_12,167,415,cancer,is_larger_comparison,Is total liver tumor surface bigger in the first image than the second image?,Yes,"(0.6660159826278687, 0.6660159826278687)","(0.654296875, 0.654296875)"
liver_117,liver_64,462,189,liver,is_bright_compare,Is liver brighter in the first image than the second image?,No,"(0.6800000071525574, 0.6800000071525574)","(0.7773439884185791, 0.7773439884185791)"
