scan_idx,label,slice_idx,question_type,question,answer,original_question,spacing_info
amos_0297,pancreas_left_of_spleen,195,relative_position,What organ is located on the left side of the spleen in this image?,pancreas,Which organ is to the left of spleen in this image?,"(0.76953125, 0.76953125)"
amos_0268,postcava,188,surface_area,What is the surface area of the posterior cava in square millimeters in this image?,610,What is the surface area of postcava in mm2 in this image?,"(0.6484375, 0.6484375)"
amos_0283,multiple_organs,160,is_function_present,Does the image show any organ responsible for producing bile?,Yes,Is there any organ that produces bile in the image?,"(0.626953125, 0.626953125)"
amos_0301,right adrenal gland,129,average_intensity,What is the mean intensity value of the right adrenal gland in this image?,29,What is the average intensity of right adrenal gland in this image?,"(0.7460939884185791, 0.7460939884185791)"
amos_0212,duodenum_left_of_postcava,157,relative_position,Which organ is located on the left side of the postcava in this image?,duodenum,Which organ is to the left of postcava in this image?,"(0.544921875, 0.544921875)"
amos_0143,stomach_left_of_spleen,19,relative_position,What organ is located on the left side of the spleen in this image?,stomach,Which organ is to the left of spleen in this image?,"(0.5299479365348816, 0.5299479365348816)"
amos_0401,left kidney vs pancreas,66,is_larger,Is the left kidney bigger than the pancreas?,No,Is left kidney larger than pancreas?,"(0.5247395634651184, 0.5247395634651184)"
amos_0154,spleen vs postcava,55,is_brighter,Is spleen brighter than postcava?,Yes,Is spleen brighter than postcava?,"(0.7820000052452087, 0.7820000052452087)"
amos_0208,aorta,148,average_intensity,What is the mean intensity value of the aorta in this image?,40,What is the average intensity of aorta in this image?,"(0.640625, 0.640625)"
amos_0154,spleen vs postcava,55,is_larger,Is the spleen bigger than the posterior cava?,No,Is spleen larger than postcava?,"(0.7820000052452087, 0.7820000052452087)"
amos_0103,gall bladder,66,surface_area,What is the gallbladder's surface area in square millimeters as shown in this image?,116,What is the surface area of gall bladder in mm2 in this image?,"(0.5390625, 0.5390625)"
amos_0188,stomach,77,diameter,What is the size of the stomach in millimeters as shown in this image?,87,What is the diameter of stomach in mm in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0166,gall bladder_left_of_postcava,54,relative_position,Which organ is to the left of postcava in this image?,gall bladder,Which organ is to the left of postcava in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0380,gall bladder,82,diameter,What is the diameter of gall bladder in mm in this image?,51,What is the diameter of gall bladder in mm in this image?,"(0.6067708134651184, 0.6067708134651184)"
amos_0249,spleen vs duodenum,124,is_larger,Is the spleen bigger than the duodenum?,Yes,Is spleen larger than duodenum?,"(0.6328125, 0.6328125)"
amos_0010,left kidney_right_of_aorta,69,relative_position,Which structure is located to the right of the aorta in this image?,left kidney,Which organ is to the right of aorta in this image?,"(0.8080000281333923, 0.8080000281333923)"
amos_0600,multiple_organs,46,target_count,How many different organs can be seen in this image?,10,How many organs are present in this image?,"(1.1875, 1.1875)"
amos_0287,pancreas_right_of_aorta,241,relative_position,Which organ is to the right of aorta in this image?,pancreas,Which organ is to the right of aorta in this image?,"(0.9765620231628418, 0.9765620231628418)"
amos_0038,multiple_organs,69,is_function_present,Does the image show any organ responsible for returning blood to the heart?,Yes,Is there any organ that carries blood back to the heart in the image?,"(0.781000018119812, 0.781000018119812)"
amos_0396,multiple_organs,72,is_function_present,Does the image show an organ responsible for regulating blood sugar?,Yes,Is there any organ that regulates blood sugar in the image?,"(0.6432291865348816, 0.6432291865348816)"
amos_0017,spatial_rightmost,69,extreme_position,Which organ is located on the far right side of the image?,spleen,Which organ is right most in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0069,spleen vs stomach,67,is_brighter,Is the spleen more bright than the stomach on the image?,Yes,Is spleen brighter than stomach?,"(0.8009999990463257, 0.8009999990463257)"
amos_0288,gall bladder,76,surface_area,What is the surface area of gall bladder in mm2 in this image?,593,What is the surface area of gall bladder in mm2 in this image?,"(0.7460939884185791, 0.7460939884185791)"
amos_0121,bladder,16,surface_area,What is the bladder's surface area in square millimeters as shown in the image?,3051,What is the surface area of bladder in mm2 in this image?,"(0.9459999799728394, 0.9459999799728394)"
amos_0085,gall bladder vs pancreas,67,is_brighter,Is the gallbladder more brightly illuminated than the pancreas on the image?,No,Is gall bladder brighter than pancreas?,"(0.7020000219345093, 0.7020000219345093)"
amos_0230,pancreas,153,diameter,What is the size of the pancreas in millimeters as shown in this image?,106,What is the diameter of pancreas in mm in this image?,"(0.65625, 0.65625)"
amos_0381,adrenal_glands,68,target_count,How many adrenal glands can be seen in this image?,2,How many adrenal glands are present in this image?,"(0.6458333134651184, 0.6458333134651184)"
amos_0353,multiple_organs,153,target_count,How many different organs can be seen in this image?,11,How many organs are present in this image?,"(0.650390625, 0.650390625)"
amos_0177,multiple_organs,64,is_function_present,Does the image show an organ that stores bile?,Yes,Is there any organ that stores bile in the image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0184,gall bladder,74,surface_area,What is the surface area of gall bladder in mm2 in this image?,443,What is the surface area of gall bladder in mm2 in this image?,"(0.8270000219345093, 0.8270000219345093)"
amos_0087,gall bladder,67,average_intensity,What is the mean intensity value of the gallbladder in this image?,18,What is the average intensity of gall bladder in this image?,"(0.7820000052452087, 0.7820000052452087)"
amos_0099,multiple_organs,73,is_function_present,Does the image show an organ involved in regulating stress hormones?,No,Is there any organ that helps control stress hormones in the image?,"(0.6510416865348816, 0.6510416865348816)"
