scan_idx_1,scan_idx_2,slice_idx_1,slice_idx_2,question_type,question,answer,label,spacing_info_1,spacing_info_2
amos_0006,amos_0395,96,81,is_present_target_both,Is there aorta in both images?,Yes,,"(0.8349999785423279, 0.8349999785423279)","(0.4622395932674408, 0.4622395932674408)"
amos_0127,amos_0279,16,80,surface_evolution,What is the difference in surface area of prostate/uterus between the first and second image?,-159,prostate/uterus,"(0.7820000052452087, 0.7820000052452087)","(0.703125, 0.703125)"
amos_0152,amos_0015,65,82,is_larger_comparison,Is liver bigger in the first image than the second image?,No,liver,"(0.7820000052452087, 0.7820000052452087)","(0.6497395634651184, 0.6497395634651184)"
amos_0007,amos_0384,79,68,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.5182291865348816, 0.5182291865348816)","(0.4622395932674408, 0.4622395932674408)"
amos_0022,amos_0233,97,200,is_present_target_both,Is there postcava in both images?,Yes,,"(0.5833333134651184, 0.5833333134651184)","(0.705078125, 0.705078125)"
amos_0321,amos_0374,140,55,is_present_target_both,Is there right kidney in both images?,Yes,,"(0.71875, 0.71875)","(0.640625, 0.640625)"
amos_0143,amos_0357,28,176,is_larger_comparison,Is liver bigger in the first image than the second image?,No,liver,"(0.5299479365348816, 0.5299479365348816)","(0.619140625, 0.619140625)"
amos_0097,amos_0052,69,68,is_bright_compare,Is left kidney brighter in the first image than the second image?,Yes,left kidney,"(1.0679999589920044, 1.0679999589920044)","(0.6106770634651184, 0.6106770634651184)"
amos_0159,amos_0134,77,39,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.8309999704360962, 0.8309999704360962)","(0.8539999723434448, 0.8539999723434448)"
amos_0396,amos_0296,75,147,is_larger_comparison,Is spleen bigger in the first image than the second image?,Yes,spleen,"(0.6432291865348816, 0.6432291865348816)","(0.7949219942092896, 0.7949219942092896)"
amos_0133,amos_0388,56,66,is_present_target_both,Is there left kidney in both images?,Yes,,"(0.453125, 0.453125)","(0.4817708432674408, 0.4817708432674408)"
amos_0040,amos_0365,72,81,diameter_evolution,What is the difference in diameter length of spleen between the first and second image?,-21,spleen,"(0.7820000052452087, 0.7820000052452087)","(0.6015625, 0.6015625)"
amos_0410,amos_0230,106,180,is_present_target_both,Is there esophagus in both images?,Yes,,"(0.5833333134651184, 0.5833333134651184)","(0.65625, 0.65625)"
amos_0398,amos_0052,67,73,common_organs,Is there at least 3 common organs displayed in both images?,Yes,,"(0.6276041865348816, 0.6276041865348816)","(0.6106770634651184, 0.6106770634651184)"
amos_0117,amos_0206,38,127,is_larger_comparison,Is right kidney bigger in the first image than the second image?,No,right kidney,"(0.5078125, 0.5078125)","(0.611328125, 0.611328125)"
amos_0350,amos_0374,160,72,is_present_target_both,Is there pancreas in both images?,Yes,,"(0.62109375, 0.62109375)","(0.640625, 0.640625)"
amos_0171,amos_0391,74,66,surface_evolution,What is the difference in surface area of left adrenal gland between the first and second image?,-30,left adrenal gland,"(0.6510416865348816, 0.6510416865348816)","(0.97265625, 0.97265625)"
amos_0113,amos_0058,84,92,is_present_target_both,Is there postcava in both images?,Yes,,"(0.6471354365348816, 0.6471354365348816)","(0.5989583134651184, 0.5989583134651184)"
amos_0208,amos_0140,188,101,is_bright_compare,Is esophagus brighter in the first image than the second image?,No,esophagus,"(0.640625, 0.640625)","(0.5989583134651184, 0.5989583134651184)"
amos_0390,amos_0400,66,56,is_larger_comparison,Is right kidney bigger in the first image than the second image?,Yes,right kidney,"(0.62109375, 0.62109375)","(0.4674479067325592, 0.4674479067325592)"
