scan_idx,label,slice_idx,question_type,question,answer,spacing_info
liver_73,cancer,98,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.951171875, 0.951171875)"
liver_45,cancer,34,is_present_target,Does this image display any liver tumor?,Yes,"(1.0, 1.0)"
liver_19,liver,427,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(0.751953125, 0.751953125)"
liver_116,cancer,583,average_intensity,What is the average intensity of liver tumor(s) in this image?,68,"(0.7890625, 0.7890625)"
liver_66,cancer,78,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.7128909826278687, 0.7128909826278687)"
liver_15,cancer,327,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.654296875, 0.654296875)"
liver_63,liver,81,is_healthy,Is the liver healthy in this image?,No,"(0.7402340173721313, 0.7402340173721313)"
liver_103,cancer,529,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.85546875, 0.85546875)"
liver_128,cancer,529,average_intensity,What is the average intensity of liver tumor(s) in this image?,76,"(0.78125, 0.78125)"
liver_54,liver,77,is_healthy,Is the liver healthy in this image?,No,"(0.828125, 0.828125)"
liver_51,cancer,136,is_present_target,Does this image display any liver tumor?,Yes,"(0.90234375, 0.90234375)"
liver_96,cancer,607,count,How many liver tumors are there in this image?,1,"(0.74609375, 0.74609375)"
liver_101,cancer,505,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.705078125, 0.705078125)"
liver_118,cancer,251,count,How many liver tumors are there in this image?,1,"(0.744140625, 0.744140625)"
liver_95,liver,506,is_healthy,Is the liver healthy in this image?,No,"(0.7379999756813049, 0.7379999756813049)"
liver_68,cancer,130,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.6660159826278687, 0.6660159826278687)"
liver_49,liver,151,surface_area,What is the total surface area of the liver in mm2 in this image?,17071,"(0.955078125, 0.955078125)"
liver_71,cancer,75,is_larger,Is the total surface of liver tumor(s) larger than that of the liver in this image?,No,"(0.556640625, 0.556640625)"
liver_18,liver,421,is_function_present,Is there any organ that converts toxic ammonia into less harmful urea in this image?,Yes,"(0.921875, 0.921875)"
liver_41,liver,56,is_function_present,Is there any organ that produces bile for fat digestion in this image?,Yes,"(1.0, 1.0)"
liver_33,liver,100,diameter,What is the diameter of the liver in mm in this image?,257,"(1.0, 1.0)"
liver_118,cancer,251,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.744140625, 0.744140625)"
liver_127,cancer,631,is_present_target,Does this image display any liver tumor?,Yes,"(0.771484375, 0.771484375)"
liver_82,cancer,400,is_present_target,Does this image display any liver tumor?,Yes,"(0.625, 0.625)"
liver_73,cancer,98,is_brighter,Is liver tumor brighter than the liver in this image?,No,"(0.951171875, 0.951171875)"
liver_36,cancer,34,count,How many liver tumors are there in this image?,1,"(1.0, 1.0)"
liver_81,liver,246,surface_area,What is the total surface area of the liver in mm2 in this image?,10242,"(0.703125, 0.703125)"
